,logM,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
113620,11.293,0.09488,16.42,15.46,-22.09,-22.85,6.38,0.06,0.98,0.76
113621,11.212,0.09392,16.73,15.79,-21.75,-22.51,5.39,0.07,0.84,0.76
113622,10.861,0.11905,17.48,16.82,-21.49,-22.01,0.96,0.19,0.06,0.52
113623,11.13,0.11858,17.64,16.6,-21.5,-22.28,5.49,0.35,0.98,0.78
113624,11.225,0.13383,17.66,16.78,-21.82,-22.41,5.19,0.17,0.51,0.59
113625,11.375,0.14194,17.47,16.48,-22.15,-22.84,4.89,0.28,0.53,0.69
113626,11.643,0.15412,17.18,16.22,-22.64,-23.3,7.99,0.34,0.68,0.66
113627,10.763,0.1248,17.64,16.96,-21.49,-22.04,0.8,0.47,0.0,0.55
113628,10.518,0.07309,17.42,16.69,-20.37,-21.03,1.1,0.43,0.11,0.66
113629,11.5,0.13484,17.32,16.27,-22.2,-22.93,5.09,0.16,0.68,0.73
113630,10.606,0.06465,17.51,16.6,-20.03,-20.82,3.83,0.33,0.5,0.79
113631,11.053,0.11139,17.96,16.95,-21.0,-21.77,1.75,0.69,0.23,0.77
113632,10.06,0.09291,17.35,16.99,-20.93,-21.22,0.84,0.23,0.98,0.29
113633,10.728,0.06325,16.53,15.77,-20.92,-21.58,6.13,0.01,0.42,0.66
113634,11.339,0.13729,17.98,16.94,-21.57,-22.33,5.93,0.16,0.62,0.76
113635,10.508,0.07727,17.37,16.73,-20.54,-21.1,1.26,0.57,0.19,0.56
113636,11.135,0.14175,17.69,16.74,-21.92,-22.58,5.3,0.33,0.98,0.66
113637,10.843,0.10851,17.49,16.79,-21.28,-21.85,2.36,0.22,0.27,0.57
113638,10.36,0.05434,16.84,16.23,-20.24,-20.78,1.91,0.12,0.22,0.54
113639,10.369,0.05456,17.69,16.8,-19.45,-20.22,2.98,0.25,0.42,0.77
113640,11.005,0.09642,17.56,16.7,-20.95,-21.69,2.81,0.66,0.42,0.74
113641,10.965,0.07574,16.91,16.01,-21.04,-21.77,5.95,0.16,0.9,0.73
113642,11.087,0.11743,17.68,16.8,-21.39,-22.05,3.08,0.5,0.36,0.66
113643,10.872,0.07486,16.36,15.73,-21.49,-22.04,0.89,0.49,0.16,0.55
113644,10.618,0.07445,17.14,16.44,-20.71,-21.3,1.35,0.07,0.07,0.59
113645,10.688,0.07812,17.56,16.66,-20.46,-21.2,4.26,0.03,0.89,0.74
113646,10.924,0.1126,17.18,16.53,-21.7,-22.18,0.85,0.02,0.82,0.48
113647,10.725,0.05549,15.8,15.24,-21.33,-21.83,1.48,0.22,0.12,0.5
113648,10.788,0.07431,17.37,16.46,-20.53,-21.29,3.59,0.15,0.84,0.76
113649,10.664,0.0755,17.8,16.88,-20.15,-20.92,4.41,0.39,0.87,0.77
113650,10.582,0.07878,17.87,16.98,-20.17,-20.91,2.66,0.54,0.78,0.74
113651,10.542,0.06991,17.6,16.75,-20.13,-20.85,3.41,0.22,0.55,0.72
113652,11.073,0.07757,16.37,15.55,-21.6,-22.3,3.13,0.42,0.32,0.7
113653,10.812,0.07973,17.22,16.43,-20.81,-21.5,1.71,0.38,0.27,0.69
113654,11.191,0.07209,16.12,15.25,-21.69,-22.43,4.08,0.29,0.58,0.74
113655,10.787,0.07867,17.43,16.56,-20.6,-21.33,5.86,0.58,0.53,0.73
113656,11.137,0.07375,16.62,15.71,-21.29,-22.04,5.46,0.24,0.55,0.75
113657,11.584,0.11732,16.51,15.55,-22.59,-23.3,3.39,0.17,0.47,0.71
113658,10.953,0.07546,17.09,16.21,-20.84,-21.58,8.0,0.17,0.44,0.74
113659,10.955,0.07247,16.79,15.9,-21.05,-21.79,4.26,0.25,0.63,0.74
113660,10.424,0.07479,17.64,16.91,-20.22,-20.84,1.29,0.05,0.16,0.62
113661,11.368,0.1312,17.68,16.56,-21.77,-22.59,5.13,0.56,0.96,0.82
113662,11.232,0.07567,16.23,15.33,-21.71,-22.46,4.04,0.5,0.59,0.75
113663,10.24,0.04282,16.63,15.98,-19.89,-20.48,0.66,0.62,0.51,0.59
113664,10.67,0.06285,17.12,16.25,-20.36,-21.1,3.48,0.28,0.51,0.74
113665,11.303,0.13078,17.39,16.34,-22.03,-22.79,2.39,0.5,1.0,0.76
113666,11.418,0.13382,17.11,16.09,-22.36,-23.1,4.17,0.1,0.92,0.74
113667,10.996,0.07435,16.97,16.05,-20.95,-21.72,3.95,0.19,0.55,0.77
113668,10.878,0.0726,17.07,16.16,-20.79,-21.54,5.25,0.09,0.88,0.75
113669,11.61,0.144,17.23,16.2,-22.44,-23.21,6.75,0.38,0.49,0.77
113670,11.081,0.06302,15.92,15.06,-21.57,-22.3,4.2,0.31,0.72,0.73
113671,11.069,0.07823,16.82,15.9,-21.22,-21.98,3.8,0.66,0.4,0.76
113672,10.482,0.06352,17.37,16.54,-20.13,-20.85,3.86,0.62,0.98,0.72
113673,10.49,0.07932,17.48,16.76,-20.52,-21.15,1.23,0.59,0.06,0.63
113674,10.684,0.07715,17.56,16.63,-20.45,-21.22,4.29,0.46,0.97,0.77
113675,10.938,0.08062,16.43,15.79,-21.62,-22.16,0.98,0.53,0.07,0.54
113676,10.681,0.06396,17.41,16.49,-20.13,-20.92,1.89,0.69,0.23,0.79
113677,11.021,0.081,16.9,16.02,-21.23,-21.94,3.49,0.44,0.73,0.71
113678,11.005,0.07357,16.88,16.0,-21.0,-21.76,2.88,0.56,0.46,0.76
113679,10.7,0.0778,17.71,16.76,-20.33,-21.11,1.52,0.67,0.17,0.78
113680,11.369,0.14172,17.59,16.53,-22.08,-22.81,6.49,0.33,0.93,0.73
113681,10.641,0.06326,17.07,16.21,-20.45,-21.18,6.17,0.2,0.99,0.73
113682,10.2,0.06347,17.41,16.8,-20.03,-20.59,1.2,0.27,0.06,0.56
113683,9.589,0.03683,16.62,16.21,-19.54,-19.93,1.13,0.35,0.07,0.39
113684,11.504,0.16702,17.75,16.57,-22.41,-23.27,6.53,0.23,0.98,0.86
113685,11.074,0.10416,17.33,16.39,-21.48,-22.19,4.06,0.39,0.69,0.71
113686,10.56,0.03693,15.51,14.94,-20.69,-21.2,0.77,0.3,0.5,0.51
113687,11.101,0.13367,17.39,16.63,-21.99,-22.54,1.26,0.42,0.2,0.55
113688,11.39,0.15616,18.03,16.93,-21.93,-22.67,6.12,0.12,0.48,0.74
113689,10.984,0.10576,17.08,16.42,-21.67,-22.16,3.07,0.45,0.6,0.49
113690,10.787,0.07319,17.28,16.43,-20.57,-21.33,1.15,0.85,0.16,0.76
113691,10.372,0.07288,17.29,16.68,-20.48,-21.03,1.01,0.34,0.07,0.55
113692,9.403,0.03486,17.26,16.76,-18.77,-19.23,2.18,0.27,0.91,0.46
113693,11.542,0.16127,17.9,16.73,-22.19,-22.95,6.12,0.28,0.72,0.76
113694,11.738,0.15658,17.05,15.9,-22.92,-23.72,6.65,0.09,0.81,0.8
113695,9.749,0.0225,15.78,15.29,-19.28,-19.73,0.73,0.73,0.05,0.45
113696,10.718,0.07225,16.79,16.17,-20.98,-21.51,3.13,0.39,0.41,0.53
113697,10.828,0.0778,17.12,16.35,-20.85,-21.51,1.8,0.71,0.25,0.66
113698,10.358,0.07349,17.27,16.76,-20.49,-20.95,1.96,0.81,0.3,0.46
113699,11.011,0.07756,16.74,15.82,-21.25,-22.04,5.78,0.03,0.82,0.79
113700,11.048,0.12132,17.79,16.75,-21.42,-22.19,2.88,0.22,0.91,0.77
113701,10.433,0.0723,17.63,16.91,-20.15,-20.77,1.43,0.63,0.17,0.62
113702,9.768,0.03519,17.59,16.85,-18.51,-19.18,1.01,0.23,0.3,0.67
113703,10.415,0.0538,17.09,16.3,-20.01,-20.7,2.84,0.34,0.36,0.69
113704,9.418,0.03469,17.14,16.69,-18.88,-19.3,1.07,0.62,0.76,0.42
113705,10.713,0.09125,17.12,16.55,-21.18,-21.66,3.69,0.21,0.54,0.48
113706,10.826,0.09106,17.77,16.79,-20.68,-21.48,3.03,0.55,0.86,0.8
113707,10.586,0.05429,16.31,15.66,-20.78,-21.36,0.86,0.42,0.07,0.58
113708,11.253,0.06811,15.66,14.78,-22.05,-22.78,5.3,0.11,0.87,0.73
113709,10.469,0.06629,17.59,16.82,-20.01,-20.67,4.02,0.39,0.4,0.66
113710,10.398,0.07017,17.73,17.0,-19.98,-20.61,1.68,0.03,0.21,0.63
113711,10.8,0.07,17.26,16.36,-20.5,-21.26,3.54,0.41,0.62,0.76
113712,10.665,0.06478,17.48,16.59,-20.06,-20.86,2.29,0.4,0.43,0.8
113713,10.863,0.06999,16.79,15.99,-20.94,-21.62,4.27,0.5,0.54,0.68
113714,10.332,0.03051,15.37,14.85,-20.39,-20.89,1.69,0.35,0.49,0.5
113715,10.438,0.07042,17.5,16.83,-20.21,-20.79,2.84,0.46,0.54,0.58
113716,9.925,0.07159,17.35,16.93,-20.36,-20.75,1.04,0.34,0.02,0.39
113717,11.132,0.07103,16.33,15.41,-21.48,-22.25,4.83,0.23,0.92,0.77
113718,9.814,0.06449,16.83,16.55,-20.58,-20.83,1.74,0.04,0.54,0.25
113719,9.223,0.03093,16.41,16.14,-19.34,-19.59,1.08,0.77,0.15,0.25
113720,10.107,0.03755,16.87,16.24,-19.35,-19.94,1.64,0.43,0.36,0.59
113721,10.892,0.03761,15.47,14.64,-20.8,-21.54,3.69,0.31,0.6,0.74
113722,9.831,0.07111,17.16,16.81,-20.49,-20.81,1.02,0.57,0.12,0.32
113723,10.633,0.118,18.07,17.18,-20.96,-21.67,7.98,0.15,0.69,0.71
113724,11.464,0.17437,18.13,16.96,-22.18,-22.94,4.33,0.33,0.49,0.76
113725,10.919,0.07947,17.28,16.38,-20.79,-21.54,4.7,0.06,0.33,0.75
113726,10.476,0.0736,17.65,16.91,-20.18,-20.83,0.73,0.7,0.0,0.65
113727,11.609,0.17396,17.95,16.77,-22.37,-23.11,5.27,0.13,0.63,0.74
113728,10.614,0.03823,16.18,15.36,-20.11,-20.86,4.41,0.32,0.38,0.75
113729,11.588,0.17265,17.8,16.61,-22.49,-23.25,6.17,0.2,0.65,0.76
113730,10.025,0.03755,17.05,16.36,-19.18,-19.82,0.83,0.61,0.02,0.64
113731,10.153,0.03803,17.17,16.4,-19.12,-19.82,8.0,0.05,0.56,0.7
113732,10.986,0.09403,17.87,16.95,-20.64,-21.38,3.85,0.19,0.56,0.74
113733,10.711,0.07038,17.54,16.69,-20.22,-20.94,2.01,0.63,0.39,0.72
113734,10.655,0.05918,16.6,15.96,-20.67,-21.25,2.74,0.16,0.24,0.58
113735,10.414,0.03661,16.21,15.41,-19.99,-20.71,7.4,0.2,0.69,0.72
113736,11.499,0.14773,17.76,16.65,-22.06,-22.81,5.56,0.26,0.45,0.75
113737,11.504,0.14824,17.73,16.67,-22.05,-22.87,2.82,0.35,0.33,0.82
113738,11.162,0.15062,17.8,16.92,-21.94,-22.54,1.91,0.32,0.16,0.6
113739,7.743,0.00729,16.52,16.34,-16.03,-16.19,0.85,0.38,0.0,0.16
113740,10.541,0.0758,17.55,16.75,-20.4,-21.06,0.87,0.76,0.02,0.66
113741,10.179,0.05398,17.64,16.93,-19.44,-20.08,3.05,0.1,0.83,0.64
113742,10.667,0.03755,15.61,14.8,-20.64,-21.37,5.29,0.01,0.82,0.73
113743,11.307,0.14491,17.56,16.5,-22.16,-22.9,2.69,0.71,0.74,0.74
113744,10.971,0.09103,17.16,16.34,-21.24,-21.9,3.59,0.28,0.67,0.66
113745,10.342,0.03164,16.12,15.29,-19.74,-20.5,3.91,0.61,0.74,0.76
113746,10.332,0.07835,17.15,16.64,-20.76,-21.21,1.3,0.3,0.11,0.45
113747,10.897,0.11732,16.99,16.37,-21.95,-22.44,1.44,0.25,0.36,0.49
113748,9.233,0.01634,15.58,15.2,-18.77,-19.09,0.57,0.06,0.0,0.32
113749,10.951,0.09563,17.6,16.64,-21.0,-21.74,4.11,0.38,0.72,0.74
113750,10.836,0.09432,17.78,16.86,-20.77,-21.5,4.8,0.2,0.49,0.73
113751,11.174,0.10845,17.43,16.49,-21.49,-22.2,7.98,0.0,0.72,0.71
113752,11.532,0.09497,16.38,15.39,-22.23,-23.01,5.01,0.23,0.68,0.78
113753,9.096,0.01491,16.92,16.33,-17.27,-17.81,0.7,0.82,0.0,0.54
113754,11.345,0.20165,17.57,16.71,-22.95,-23.45,0.69,0.36,0.01,0.5
113755,11.023,0.09416,17.48,16.52,-21.08,-21.83,3.3,0.2,0.31,0.75
113756,11.191,0.12873,17.75,16.77,-21.65,-22.34,4.32,0.21,0.45,0.69
113757,11.021,0.08786,17.27,16.32,-21.1,-21.87,2.46,0.54,0.27,0.77
113758,11.336,0.08831,16.69,15.74,-21.7,-22.45,8.0,0.12,0.64,0.75
113759,10.701,0.07431,17.58,16.69,-20.36,-21.09,4.7,0.19,0.57,0.73
113760,11.254,0.11849,17.56,16.55,-21.63,-22.38,5.37,0.44,0.7,0.75
113761,11.54,0.16089,17.44,16.35,-22.63,-23.33,4.09,0.1,0.74,0.7
113762,10.904,0.08879,17.39,16.48,-20.99,-21.74,3.54,0.51,0.99,0.75
113763,11.116,0.08951,16.61,15.83,-21.73,-22.37,2.66,0.07,0.25,0.64
113764,10.828,0.08876,17.09,16.36,-21.22,-21.82,2.07,0.68,0.33,0.6
113765,10.982,0.08755,17.27,16.39,-21.05,-21.78,3.2,0.6,0.39,0.73
113766,11.038,0.11748,17.31,16.59,-21.73,-22.28,1.27,0.44,0.86,0.55
113767,10.748,0.08699,17.8,16.85,-20.55,-21.3,5.42,0.33,0.83,0.75
113768,10.319,0.0874,16.92,16.49,-21.28,-21.65,1.39,0.22,0.09,0.37
113769,12.017,0.2211,17.87,16.49,-23.26,-24.04,7.58,0.03,0.49,0.78
113770,9.498,0.03114,16.47,16.07,-19.36,-19.71,2.02,0.5,0.23,0.35
113771,11.376,0.11647,17.18,16.19,-21.99,-22.73,5.13,0.28,0.45,0.74
113772,10.107,0.04039,16.75,16.15,-19.71,-20.27,1.35,0.72,0.1,0.56
113773,10.582,0.06271,17.55,16.62,-20.03,-20.81,2.7,0.43,0.94,0.78
113774,10.995,0.10344,17.7,16.79,-21.11,-21.82,8.0,0.27,0.53,0.71
113775,10.957,0.10624,17.88,16.92,-21.02,-21.75,5.18,0.43,0.71,0.73
113776,10.71,0.08058,17.11,16.41,-20.98,-21.57,1.5,0.55,0.21,0.59
113777,11.138,0.08525,16.75,15.91,-21.54,-22.22,3.61,0.58,0.49,0.68
113778,11.68,0.18546,17.91,16.6,-22.68,-23.49,5.03,0.04,0.62,0.81
113779,11.198,0.11901,17.46,16.57,-21.75,-22.39,4.28,0.46,0.45,0.64
113780,10.738,0.07918,17.61,16.75,-20.49,-21.22,1.2,0.77,0.04,0.73
113781,10.274,0.07997,17.38,16.86,-20.65,-21.1,1.97,0.02,0.5,0.45
113782,10.506,0.07973,17.11,16.55,-20.92,-21.41,3.7,0.34,0.41,0.49
113783,11.46,0.11996,16.9,15.85,-22.37,-23.14,6.17,0.27,0.97,0.77
113784,10.91,0.0793,16.8,16.04,-21.28,-21.93,1.99,0.34,0.28,0.65
113785,10.226,0.06402,17.25,16.66,-20.26,-20.79,0.79,0.51,0.0,0.53
113786,11.112,0.06399,16.02,15.13,-21.56,-22.32,2.17,0.41,0.26,0.76
113787,10.148,0.06674,17.54,16.98,-20.09,-20.56,1.22,0.4,0.15,0.47
113788,9.655,0.03083,16.5,16.07,-19.33,-19.71,1.77,0.24,0.25,0.38
113789,11.302,0.11663,17.7,16.7,-21.45,-22.19,7.98,0.08,0.35,0.74
113790,10.814,0.10242,17.7,16.9,-20.99,-21.63,2.29,0.47,0.23,0.64
113791,10.288,0.06915,17.43,16.79,-20.28,-20.83,2.67,0.37,0.82,0.55
113792,11.048,0.14585,17.78,16.95,-21.92,-22.48,3.71,0.34,0.8,0.56
113793,10.955,0.06382,16.65,15.74,-20.96,-21.72,3.71,0.44,0.69,0.76
113794,10.145,0.01738,15.24,14.48,-19.35,-20.03,2.08,0.02,0.32,0.68
113795,11.171,0.04795,15.16,14.31,-21.76,-22.49,3.92,0.35,0.61,0.73
113796,10.329,0.04747,16.93,16.25,-19.93,-20.52,1.84,0.17,1.0,0.59
113797,10.45,0.04657,17.05,16.17,-19.8,-20.56,4.75,0.72,0.62,0.76
113798,10.67,0.04647,16.34,15.49,-20.51,-21.24,3.84,0.64,0.56,0.73
113799,10.426,0.04678,16.82,16.04,-20.03,-20.7,1.44,0.36,0.14,0.67
113800,10.689,0.04691,16.62,15.71,-20.27,-21.06,3.23,0.71,0.5,0.79
113801,9.979,0.04959,17.49,16.86,-19.49,-20.02,0.8,0.62,0.7,0.53
113802,10.789,0.04749,16.02,15.32,-20.86,-21.46,4.25,0.52,0.39,0.6
113803,10.974,0.09103,17.69,16.75,-20.84,-21.57,4.71,0.57,0.52,0.73
113804,10.775,0.06279,16.95,16.09,-20.61,-21.34,5.08,0.31,0.55,0.73
113805,9.827,0.03419,16.95,16.36,-19.15,-19.67,2.58,0.29,0.46,0.52
113806,11.493,0.16314,17.75,16.67,-22.41,-23.09,5.76,0.29,0.52,0.68
113807,10.757,0.09404,17.65,16.88,-20.91,-21.5,1.88,0.43,0.73,0.59
113808,11.412,0.12726,17.97,16.93,-21.49,-22.22,8.0,0.01,0.29,0.73
113809,10.985,0.07406,16.77,15.87,-21.25,-21.98,4.81,0.38,0.85,0.73
113810,10.145,0.04533,17.21,16.57,-19.54,-20.13,1.28,0.62,0.09,0.59
113811,10.105,0.04583,17.49,16.71,-19.32,-19.98,4.16,0.29,0.85,0.66
113812,11.589,0.17618,18.19,16.99,-22.25,-22.99,6.22,0.18,0.6,0.74
113813,10.976,0.08738,17.44,16.46,-20.97,-21.77,7.65,0.29,1.0,0.8
113814,11.168,0.08638,16.86,15.87,-21.55,-22.33,6.33,0.2,0.83,0.78
113815,11.138,0.08588,17.67,16.58,-20.75,-21.65,6.87,0.52,0.8,0.9
113816,11.625,0.08768,15.97,14.98,-22.48,-23.25,4.62,0.29,0.52,0.77
113817,10.4,0.02111,15.27,14.45,-19.76,-20.5,4.35,0.32,0.69,0.74
113818,10.124,0.0438,16.58,16.01,-20.11,-20.59,0.8,0.09,0.05,0.48
113819,10.295,0.05327,17.44,16.71,-19.7,-20.36,2.42,0.5,0.91,0.66
113820,10.912,0.07853,17.28,16.46,-20.82,-21.51,6.66,0.51,0.45,0.69
113821,10.761,0.07915,17.69,16.78,-20.47,-21.22,1.3,0.72,0.22,0.75
113822,10.404,0.0691,17.28,16.67,-20.46,-20.98,0.97,0.07,0.11,0.52
113823,10.064,0.07228,17.63,17.02,-20.23,-20.75,0.57,0.19,0.58,0.52
113824,10.873,0.06909,17.4,16.42,-20.46,-21.27,3.2,0.64,0.49,0.81
113825,11.216,0.06868,16.36,15.37,-21.49,-22.3,6.25,0.03,0.92,0.81
113826,11.045,0.06774,16.84,15.91,-20.96,-21.73,4.63,0.36,0.53,0.77
113827,10.956,0.10048,17.8,16.92,-20.96,-21.68,4.96,0.25,0.51,0.72
113828,11.018,0.09983,17.44,16.6,-21.29,-21.93,2.58,0.6,0.26,0.64
113829,11.856,0.13466,16.77,15.65,-22.86,-23.69,6.21,0.14,0.51,0.83
113830,11.296,0.13585,17.74,16.66,-21.91,-22.68,4.73,0.54,0.98,0.77
113831,10.979,0.10129,17.73,16.75,-21.08,-21.82,3.76,0.23,0.72,0.74
113832,10.889,0.09815,17.86,16.95,-20.85,-21.56,4.22,0.0,0.72,0.71
113833,11.008,0.09903,17.51,16.56,-21.25,-21.97,7.62,0.21,0.95,0.72
113834,11.13,0.09601,17.39,16.37,-21.29,-22.09,3.85,0.03,0.71,0.8
113835,10.971,0.08702,17.14,16.29,-21.25,-21.93,2.79,0.64,0.28,0.68
113836,10.735,0.08789,17.65,16.78,-20.77,-21.45,2.98,0.17,0.35,0.68
113837,10.854,0.08313,17.58,16.6,-20.73,-21.51,7.99,0.48,1.0,0.78
113838,11.235,0.09087,17.08,16.08,-21.49,-22.27,2.02,0.82,0.31,0.78
113839,11.478,0.16253,17.86,16.65,-22.35,-23.15,5.61,0.04,0.95,0.8
113840,11.452,0.15581,17.89,16.72,-22.19,-22.95,5.01,0.29,0.86,0.76
113841,11.241,0.11405,17.52,16.49,-21.66,-22.4,3.24,0.23,0.4,0.74
113842,10.5,0.03923,,,,,5.87,0.21,,
113843,10.026,0.04071,17.28,16.7,-19.28,-19.77,3.63,0.16,0.69,0.49
113844,12.094,0.24554,18.31,16.78,-23.36,-24.15,4.58,0.34,0.43,0.79
113845,10.71,0.08876,17.52,16.79,-20.91,-21.52,1.7,0.6,0.25,0.61
113846,10.829,0.08789,17.76,16.87,-20.71,-21.4,1.71,0.32,0.35,0.69
113847,10.085,0.07213,17.59,17.05,-20.27,-20.72,0.63,0.3,0.69,0.45
113848,10.638,0.08828,17.47,16.79,-20.91,-21.47,1.18,0.51,0.32,0.56
113849,10.03,0.03957,16.35,15.8,-20.11,-20.61,1.1,0.19,0.05,0.5
113850,9.586,0.01023,14.75,14.2,-18.78,-19.13,1.08,0.41,0.03,0.35
113851,11.116,0.05096,15.79,14.89,-21.37,-22.12,3.51,0.37,0.59,0.75
113852,10.152,0.04109,17.39,16.54,-19.24,-19.96,1.54,0.43,0.31,0.72
113853,11.022,0.05032,15.88,14.98,-21.21,-21.96,4.22,0.07,0.57,0.75
113854,10.98,0.10365,17.9,16.87,-21.02,-21.79,6.18,0.28,0.98,0.77
113855,11.148,0.09646,17.19,16.23,-21.51,-22.24,5.42,0.33,0.57,0.73
113856,10.34,0.03753,16.91,16.21,-19.45,-20.07,4.29,0.74,0.61,0.62
113857,8.741,0.02637,16.86,16.56,-18.65,-18.89,1.14,0.53,0.51,0.24
113858,10.932,0.08862,17.46,16.57,-21.0,-21.73,4.38,0.27,0.57,0.73
113859,11.572,0.12721,17.2,16.15,-22.28,-23.0,2.79,0.16,0.69,0.72
113860,9.79,0.03058,16.55,16.0,-19.34,-19.82,1.04,0.55,0.2,0.48
113861,10.434,0.0417,16.2,15.61,-20.39,-20.89,2.51,0.39,0.3,0.5
113862,10.806,0.09543,17.63,16.75,-21.01,-21.69,3.92,0.21,0.57,0.68
113863,11.01,0.09413,17.77,16.76,-20.87,-21.64,4.8,0.56,0.56,0.77
113864,10.909,0.10138,17.51,16.6,-21.27,-21.97,3.55,0.53,0.91,0.7
113865,11.464,0.13665,17.52,16.45,-22.12,-22.86,6.42,0.17,0.61,0.74
113866,11.481,0.09775,16.7,15.68,-22.02,-22.8,4.0,0.33,0.63,0.78
113867,10.505,0.04626,16.4,15.79,-20.38,-20.91,5.69,0.5,0.4,0.53
113868,10.766,0.03625,14.86,14.19,-21.38,-21.96,2.44,0.33,0.28,0.58
113869,10.732,0.05262,16.86,15.98,-20.27,-21.04,2.26,0.74,0.38,0.77
113870,10.346,0.05251,16.59,16.01,-20.46,-20.97,1.15,0.56,0.03,0.51
113871,10.792,0.03599,14.95,14.19,-21.28,-21.95,3.31,0.83,0.49,0.67
113872,10.441,0.03567,15.92,15.24,-20.27,-20.86,0.9,0.76,0.06,0.59
113873,10.972,0.06099,16.35,15.49,-21.14,-21.86,3.86,0.43,0.54,0.72
113874,11.217,0.09684,16.76,15.86,-21.87,-22.57,3.45,0.22,0.31,0.7
113875,9.519,0.03557,16.16,15.88,-19.96,-20.18,1.09,0.06,0.07,0.22
113876,11.621,0.1317,17.07,16.02,-22.48,-23.2,7.77,0.12,0.71,0.72
113877,11.059,0.06205,16.55,15.63,-21.05,-21.8,3.71,0.23,0.57,0.75
113878,11.261,0.06146,15.54,14.77,-21.95,-22.62,0.69,0.05,0.04,0.67
113879,11.011,0.0697,16.46,15.58,-21.36,-22.09,4.6,0.13,0.95,0.73
113880,10.427,0.04645,,,,,5.8,0.55,,
113881,11.084,0.13467,17.91,16.93,-21.67,-22.34,4.96,0.25,0.9,0.67
113882,11.316,0.09689,17.1,16.15,-21.6,-22.31,6.0,0.0,0.57,0.71
113883,11.296,0.13642,17.76,16.73,-21.86,-22.57,4.69,0.39,0.68,0.71
113884,11.487,0.1356,17.44,16.32,-22.16,-22.99,7.71,0.2,0.89,0.83
113885,10.63,0.0451,16.58,15.73,-20.19,-20.93,2.02,0.24,0.6,0.74
113886,11.642,0.16241,17.54,16.34,-22.66,-23.44,7.39,0.26,0.93,0.78
113887,11.421,0.13706,17.46,16.63,-22.08,-22.66,7.94,0.45,0.47,0.58
113888,11.284,0.13801,18.08,16.95,-21.6,-22.41,4.68,0.07,0.52,0.81
113889,10.126,0.05169,17.33,16.68,-19.72,-20.29,0.7,0.64,0.49,0.57
113890,9.955,0.0507,16.98,16.5,-20.0,-20.43,1.37,0.23,0.05,0.43
113891,11.067,0.09712,16.93,16.14,-21.69,-22.32,3.1,0.3,0.31,0.63
113892,10.879,0.03576,15.61,14.72,-20.68,-21.44,5.26,0.21,0.65,0.76
113893,11.194,0.06166,15.88,14.97,-21.72,-22.45,4.71,0.17,0.69,0.73
113894,10.702,0.06052,16.86,16.05,-20.68,-21.32,5.38,0.28,0.65,0.64
113895,10.714,0.04351,16.3,15.51,-20.44,-21.12,2.25,0.39,0.53,0.68
113896,10.612,0.07664,17.1,16.47,-20.96,-21.45,1.27,0.36,0.04,0.49
113897,10.778,0.04598,16.2,15.32,-20.66,-21.41,2.95,0.54,0.49,0.75
113898,10.468,0.04597,17.32,16.45,-19.51,-20.3,3.72,0.53,0.68,0.79
113899,11.078,0.0453,15.51,14.59,-21.35,-22.13,3.63,0.19,0.49,0.78
113900,11.0,0.06175,15.8,15.09,-21.76,-22.35,1.61,0.42,0.09,0.59
113901,11.299,0.14142,18.21,17.02,-21.66,-22.45,3.27,0.59,0.72,0.79
113902,11.042,0.1243,18.04,16.97,-21.4,-22.16,2.63,0.66,0.71,0.76
113903,11.237,0.12521,17.97,16.9,-21.53,-22.26,4.21,0.18,0.57,0.73
113904,10.713,0.08908,17.58,16.76,-20.89,-21.54,1.65,0.61,0.35,0.65
113905,11.494,0.11304,16.99,15.97,-22.14,-22.89,4.68,0.1,0.57,0.75
113906,11.015,0.11812,17.69,16.87,-21.49,-22.09,2.77,0.23,0.71,0.6
113907,10.523,0.03534,16.21,15.38,-20.03,-20.75,4.52,0.33,0.61,0.72
113908,10.657,0.03741,16.3,15.35,-20.09,-20.92,2.63,0.7,0.45,0.83
113909,10.686,0.03755,15.92,15.08,-20.44,-21.18,4.14,0.27,0.49,0.74
113910,11.26,0.07098,15.83,15.01,-22.02,-22.71,4.75,0.0,0.39,0.69
113911,10.681,0.03617,16.02,15.12,-20.27,-21.06,2.88,0.7,0.44,0.79
113912,10.945,0.10729,17.96,16.95,-21.02,-21.77,3.56,0.34,0.66,0.75
113913,11.19,0.03391,14.91,14.11,-21.23,-21.93,3.98,0.19,0.62,0.7
113914,9.595,0.03418,16.71,16.18,-19.4,-19.86,1.53,0.23,0.4,0.46
113915,11.063,0.03411,14.95,14.08,-21.21,-21.98,4.6,0.23,0.57,0.77
113916,9.761,0.03324,17.56,16.88,-18.5,-19.09,1.34,0.0,0.06,0.59
113917,10.448,0.03946,16.57,15.74,-19.91,-20.63,4.73,0.32,0.67,0.72
113918,9.817,0.0373,17.7,16.94,-18.63,-19.3,1.23,0.43,0.94,0.67
113919,10.822,0.04099,15.57,14.75,-21.0,-21.7,2.55,0.47,0.34,0.7
113920,10.88,0.03994,16.07,15.15,-20.44,-21.27,3.14,0.34,0.5,0.83
113921,10.286,0.0309,16.48,15.68,-19.43,-20.13,2.69,0.57,0.28,0.7
113922,10.686,0.03616,15.82,14.96,-20.48,-21.22,4.6,0.3,0.55,0.74
113923,10.103,0.03355,16.86,16.03,-19.23,-20.0,1.29,0.81,0.19,0.77
