,logM,z,gmag,rmag,gMag,rMag,n,e,B_T_r,g-r
186536,10.844,0.0835,17.62,16.65,-20.61,-21.41,3.3,0.33,0.85,0.8
186537,10.751,0.08348,17.67,16.73,-20.56,-21.32,3.63,0.27,0.72,0.76
186538,10.778,0.07613,17.43,16.48,-20.55,-21.35,4.35,0.57,0.97,0.8
186539,10.764,0.07791,17.42,16.57,-20.61,-21.3,2.02,0.47,0.27,0.69
186540,10.721,0.07862,17.65,16.79,-20.4,-21.11,4.42,0.35,0.4,0.71
186541,10.991,0.09237,17.01,16.24,-21.43,-22.04,3.28,0.39,0.38,0.61
186542,10.923,0.10293,17.31,16.54,-21.4,-22.0,0.5,0.53,0.0,0.6
186543,10.95,0.08865,16.62,16.0,-21.67,-22.18,2.62,0.47,0.28,0.51
186544,10.581,0.06725,17.41,16.6,-20.25,-20.95,1.39,0.44,0.3,0.7
186545,11.527,0.17584,17.84,16.68,-22.49,-23.21,7.99,0.36,0.57,0.72
186546,11.156,0.1073,17.59,16.55,-21.32,-22.12,5.94,0.05,0.93,0.8
186547,10.914,0.06125,16.35,15.5,-21.08,-21.81,5.34,0.14,0.83,0.73
186548,9.511,0.02132,17.22,16.48,-17.74,-18.43,2.16,0.13,0.64,0.69
186549,10.68,0.07614,17.41,16.56,-20.53,-21.25,3.73,0.19,0.67,0.72
186550,11.09,0.13152,17.3,16.51,-22.02,-22.61,0.93,0.39,0.14,0.59
186551,10.42,0.12088,17.35,16.91,-21.65,-22.01,0.59,0.0,0.79,0.36
186552,11.192,0.11191,17.44,16.41,-21.61,-22.38,5.04,0.31,1.0,0.77
186553,10.946,0.10835,17.32,16.64,-21.47,-22.03,2.48,0.39,0.43,0.56
186554,11.501,0.16292,17.43,16.53,-22.48,-23.1,6.72,0.5,0.32,0.62
186555,11.21,0.12372,17.62,16.58,-21.65,-22.42,4.73,0.09,0.86,0.77
186556,10.979,0.07374,16.92,16.04,-20.96,-21.7,5.08,0.1,0.6,0.74
186557,10.902,0.07328,16.98,16.09,-20.91,-21.64,5.06,0.17,0.93,0.73
186558,10.361,0.04883,16.58,15.96,-20.27,-20.84,1.35,0.75,0.09,0.57
186559,10.821,0.04845,15.95,15.15,-20.91,-21.61,2.05,0.62,0.28,0.7
186560,10.233,0.03348,16.38,15.67,-19.57,-20.23,0.79,0.76,0.11,0.66
186561,11.068,0.11513,17.71,16.7,-21.35,-22.11,7.63,0.32,0.81,0.76
186562,10.544,0.06357,17.81,16.89,-19.69,-20.52,1.64,0.78,0.32,0.83
186563,11.37,0.1433,17.71,16.67,-21.99,-22.7,3.21,0.36,0.49,0.71
186564,10.398,0.07366,16.9,16.43,-20.86,-21.28,1.15,0.23,0.09,0.42
186565,10.244,0.05603,17.07,16.63,-20.05,-20.45,3.78,0.44,0.57,0.4
186566,10.323,0.0569,17.31,16.55,-19.92,-20.59,2.48,0.53,0.82,0.67
186567,9.986,0.05701,16.77,16.4,-20.36,-20.73,1.13,0.47,0.2,0.37
